plan_id,insurer,insurance_type,plan_name,monthly_premium,annual_premium,sum_insured,deductible,co_pay_percent,network_hospitals,claim_settlement_ratio,waiting_period_days,pre_existing_coverage_years,maternity_cover,dental_cover,vision_cover,mental_health_cover,covid_cover,no_claim_bonus_percent,free_health_checkup,ambulance_cover,daycare_procedures,room_rent_limit,icu_limit,restore_benefit,critical_illness_riders,accidental_death_rider,waiver_of_premium,age_min,age_max,target_segment,risk_profile,income_bracket,recommended_for,star_rating,premium_tier,cashless_claim,app_rating,grievance_ratio,solvency_ratio,incurred_claim_ratio,nps_score,avg_claim_processing_days,digital_policy,telemedicine,wellness_rewards,annual_health_checkup_value,launch_year,region_availability,policy_term_years,renewal_loading_percent,portability_allowed,free_look_period_days
V002,TATA AIG,Travel Insurance,Travel Guard,799,799,1500000,0,0,0,93.5,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,No,No,No,18,70,Frequent Flyers,Low,Upper Middle,Business Travelers,4.5,Premium,Yes,4.4,0.35,1.85,71.8,2,1,Yes,No,No,0,2012,Pan India,1,0,No,15
V003,HDFC ERGO,Travel Insurance,Travel Suraksha,399,399,300000,0,0,0,98.0,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,No,No,No,18,70,Budget Travelers,Low,Lower Middle,Domestic,4.3,Budget,Yes,4.2,0.32,1.92,75.1,2,1,Yes,No,No,0,2016,Pan India,1,0,No,15
V004,ICICI Lombard,Travel Insurance,iTravel Overseas,1299,1299,5000000,0,0,0,97.0,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,No,No,No,18,70,Luxury Travelers,Low,High,International Long,4.6,Super Premium,Yes,4.5,0.38,1.89,71.2,1,1,Yes,No,No,0,2014,Pan India,1,0,No,15
V005,Niva Bupa,Travel Insurance,Global Travel Care,999,999,2500000,0,0,0,91.6,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,No,No,No,18,70,Regular Travelers,Low,Middle,Schengen/US,4.4,Standard,Yes,4.3,0.41,1.78,68.4,2,1,Yes,No,No,0,2019,Pan India,1,0,No,15
V006,Star Health,Travel Insurance,Overseas Travel,599,599,750000,0,0,0,94.44,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,No,No,No,18,70,Mid-Market,Low,Middle,All Trips,4.1,Standard,Yes,4.0,0.45,1.87,63.2,2,1,Yes,No,No,0,2017,Pan India,1,0,No,15
H013,Care Health,Health Insurance,Care Freedom,1799,19999,750000,0,0,14000,95.2,30,4,Yes,Yes,No,Yes,Yes,25,Yes,6000,600,10000/day,20000/day,Yes,Yes,Yes,Yes,18,65,Senior Buyers,Low,Middle,40+ Age Group,4.2,Premium,Yes,4.1,0.48,1.83,65.1,68,2,Yes,Yes,No,3000,2019,Pan India,1,10,Yes,15
H014,Niva Bupa,Health Insurance,Health Premia,2499,27999,2000000,0,0,8600,91.6,30,2,Yes,Yes,Yes,Yes,Yes,100,Yes,20000,1500,No Limit,No Limit,Yes,Yes,Yes,Yes,18,65,Ultra HNI,Low,High,Affluent Professionals,4.8,Ultra Premium,Yes,4.4,0.35,1.82,72.3,55,1,Yes,Yes,Yes,10000,2021,Pan India,1,8,Yes,15
H015,ICICI Lombard,Health Insurance,Golden Shield Senior,1899,21499,500000,3000,10,6500,97.0,60,0,No,No,No,No,Yes,20,Yes,5000,400,8000/day,15000/day,Yes,Yes,No,Yes,55,80,Senior Citizens,Low,Middle,Elderly Care,4.4,Standard,Yes,4.3,0.38,1.89,71.2,65,2,Yes,Yes,No,2500,2020,Pan India,1,15,Yes,15
T009,PNB MetLife,Term Life,Mera Term Plan Plus,649,6999,7500000,0,0,0,97.18,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,Yes,Yes,Yes,18,60,Entry Level,Low,Lower Middle,First Earners,4.4,Budget,Yes,4.1,0.16,1.65,97.18,32,2,Yes,No,No,0,2018,Pan India,30,0,Yes,30
T010,Aegon Life,Term Life,iTerm Plan,599,6499,5000000,0,0,0,96.57,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,Yes,Yes,Yes,18,65,Digital Natives,Low,Lower Middle,Online Buyers,4.5,Budget,Yes,4.2,0.13,1.63,96.57,28,1,Yes,No,No,0,2017,Pan India,30,0,Yes,30
C009,Bharti AXA,Car/Motor,Drive Assure,2099,2099,500000,1000,5,3600,90.3,0,0,No,No,No,No,No,20,No,0,0,NA,NA,No,No,Yes,No,18,70,Mainstream,Medium,Middle,Mid-size Cars,4.1,Standard,Yes,4.0,0.48,1.79,64.5,8,2,Yes,No,No,0,2016,Pan India,1,0,Yes,15
C010,Kotak General,Car/Motor,Kotak Secure Drive,2249,2249,600000,1000,0,3900,94.2,0,0,No,No,No,No,No,25,No,0,0,NA,NA,No,No,Yes,No,18,70,Premium,Low,Upper Middle,Premium Sedans,4.4,Standard,Yes,4.3,0.37,1.86,69.8,6,1,Yes,No,No,0,2018,Pan India,1,0,Yes,15
H016,HDFC ERGO,Health Insurance,Energy Active,1349,14999,500000,0,0,11000,98.0,30,3,Yes,No,No,Yes,Yes,30,Yes,8000,700,8000/day,15000/day,Yes,Yes,No,Yes,18,65,Wellness-Focused,Low,Middle,Health-Conscious,4.6,Standard,Yes,4.3,0.32,1.92,75.1,65,2,Yes,Yes,Yes,3500,2022,Pan India,1,8,Yes,15
V007,Royal Sundaram,Travel Insurance,Trip Secure,449,449,400000,0,0,0,91.2,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,No,No,No,18,70,Occasional Travelers,Low,Lower Middle,Domestic,4.0,Budget,Yes,3.8,0.49,1.72,60.1,3,1,Yes,No,No,0,2016,Pan India,1,0,No,15
H017,SBI Health,Health Insurance,Super Health,1099,12499,500000,2500,0,6000,91.0,30,4,Yes,No,No,No,Yes,25,No,4000,500,7000/day,12000/day,No,Yes,No,Yes,18,65,Government Employees,Low,Middle,PSU Workers,3.9,Standard,Yes,3.6,0.62,1.73,57.8,80,4,Yes,No,No,0,2016,Pan India,1,12,Yes,15
T011,Future Generali,Term Life,Flexi Online Term,729,7999,10000000,0,0,0,95.74,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,Yes,Yes,Yes,18,65,Young Adults,Low,Lower Middle,Self-Employed,4.3,Standard,Yes,4.0,0.19,1.66,95.74,35,2,Yes,No,No,0,2018,Pan India,30,0,Yes,30
H018,Aditya Birla,Health Insurance,Activ Health Platinum,1999,22999,1500000,0,0,8000,97.4,30,2,Yes,Yes,Yes,Yes,Yes,75,Yes,12000,1200,No Limit,No Limit,Yes,Yes,Yes,Yes,18,65,Active Premium,Low,High,Sports-Active,4.7,Super Premium,Yes,4.5,0.29,1.94,74.8,58,1,Yes,Yes,Yes,6000,2020,Pan India,1,8,Yes,15
C011,HDFC ERGO,Car/Motor,Motor On (OD Only),1199,1199,500000,1000,0,4200,98.0,0,0,No,No,No,No,No,30,No,0,0,NA,NA,No,No,No,No,18,70,Own Damage,Medium,Middle,New Car Owners,4.4,Standard,Yes,4.3,0.32,1.92,75.1,5,1,Yes,No,No,0,2021,Pan India,1,0,Yes,15
V008,Niva Bupa,Travel Insurance,International Platinum,1599,1599,7500000,0,0,0,91.6,0,0,No,No,No,No,No,0,No,0,0,NA,NA,No,No,No,No,18,70,Premium Globe-Trotters,Low,High,Business/Luxury,4.5,Super Premium,Yes,4.4,0.41,1.78,68.4,1,1,Yes,No,No,0,2020,Pan India,1,0,No,15
H019,Care Health,Health Insurance,Care Heart,2299,25999,500000,0,0,14000,95.2,30,0,No,No,No,Yes,Yes,20,Yes,5000,500,No Limit,No Limit,Yes,Yes,No,Yes,18,65,Heart Patients,Low,Upper Middle,Cardiac Care,4.5,Premium,Yes,4.2,0.44,1.86,67.3,60,2,Yes,Yes,No,4000,2020,Pan India,1,10,Yes,15
H020,Max Bupa,Health Insurance,Super Top-Up,649,6999,2000000,500000,0,4500,94.1,30,3,No,No,No,No,Yes,10,No,3000,500,No Limit,No Limit,No,No,No,Yes,18,65,Top-Up Seekers,Low,Middle,Existing Coverage Holders,4.0,Budget,Yes,4.0,0.44,1.82,66.7,70,3,Yes,No,No,0,2017,Pan India,1,8,Yes,15
